Street,PeopleInAccidents,PIA_Scaled,SpeedDiffFromLimit,SDFL_Scaled,Score_Scaled,Tier,,,,
BANNOCK ST,2,0.418,0.000,0.000,99.58158996,B,,,,
BARTOL ST,2,0.418,0.000,0.000,99.58158996,B,,,,
BAYVIEW CIR,2,0.418,0.000,0.000,99.58158996,B,,,,
BEAVER ST,2,0.418,0.000,0.000,99.58158996,B,,,,
BELLE AVE,2,0.418,0.000,0.000,99.58158996,B,,,,
BERNICE ST,2,0.418,0.000,0.000,99.58158996,B,,,,
BITTING AVE,2,0.418,0.000,0.000,99.58158996,B,,,,
BLUXOME ST,2,0.418,0.000,0.000,99.58158996,B,,,,
BONITA ST,2,0.418,0.000,0.000,99.58158996,B,,,,
BREEN PL,2,0.418,0.000,0.000,99.58158996,B,,,,
BRIGHTON AVE,2,0.418,0.000,0.000,99.58158996,B,,,,
CHINA BASIN ST,2,0.418,0.000,0.000,99.58158996,B,,,,
CHUMASERO DR,2,0.418,0.000,0.000,99.58158996,B,,,,
CHURCH ACCESS RD,2,0.418,0.000,0.000,99.58158996,B,,,,
CONCORD ST,2,0.418,0.000,0.000,99.58158996,B,,,,
CORAL RD,2,0.418,0.000,0.000,99.58158996,B,,,,
CUMBERLAND ST,2,0.418,0.000,0.000,99.58158996,B,,,,
DARTMOUTH ST,2,0.418,0.000,0.000,99.58158996,B,,,,
DAY ST,2,0.418,0.000,0.000,99.58158996,B,,,,
DEARBORN ST,2,0.418,0.000,0.000,99.58158996,B,,,,
DEDMAN CT,2,0.418,0.000,0.000,99.58158996,B,,,,
DORANTES AVE,2,0.418,0.000,0.000,99.58158996,B,,,,
DORMITORY RD,2,0.418,0.000,0.000,99.58158996,B,,,,
DOWNEY ST,2,0.418,0.000,0.000,99.58158996,B,,,,
EDNA ST,2,0.418,0.000,0.000,99.58158996,B,,,,
ELGIN PARK,2,0.418,0.000,0.000,99.58158996,B,,,,
ELIZABETH ST,2,0.418,0.000,0.000,99.58158996,B,,,,
FEDERAL ST,2,0.418,0.000,0.000,99.58158996,B,,,,
FERN ST,2,0.418,0.000,0.000,99.58158996,B,,,,
FLORENTINE AVE,2,0.418,0.000,0.000,99.58158996,B,,,,
FLOURNOY ST,2,0.418,0.000,0.000,99.58158996,B,,,,
FOERSTER ST,2,0.418,0.000,0.000,99.58158996,B,,,,
FOOTE AVE,2,0.418,0.000,0.000,99.58158996,B,,,,
FOWLER AVE,2,0.418,0.000,0.000,99.58158996,B,,,,
GALINDO AVE,2,0.418,0.000,0.000,99.58158996,B,,,,
GOETTINGEN ST,2,0.418,0.000,0.000,99.58158996,B,,,,
GONZALEZ DR,2,0.418,0.000,0.000,99.58158996,B,,,,
GRACE ST,2,0.418,0.000,0.000,99.58158996,B,,,,
HAMILTON ST,2,0.418,0.000,0.000,99.58158996,B,,,,
HARRINGTON ST,2,0.418,0.000,0.000,99.58158996,B,,,,
HATTIE ST,2,0.418,0.000,0.000,99.58158996,B,,,,
HAVENSIDE DR,2,0.418,0.000,0.000,99.58158996,B,,,,
HAWES ST,2,0.418,0.000,0.000,99.58158996,B,,,,
HEARST AVE,2,0.418,0.000,0.000,99.58158996,B,,,,
HENRY ADAMS ST,2,0.418,0.000,0.000,99.58158996,B,,,,
HILL POINT AVE,2,0.418,0.000,0.000,99.58158996,B,,,,
HILTON ST,2,0.418,0.000,0.000,99.58158996,B,,,,
HUMBOLDT ST,2,0.418,0.000,0.000,99.58158996,B,,,,
HURON AVE,2,0.418,0.000,0.000,99.58158996,B,,,,
HWY 101 N OFF RAMP,2,0.418,0.000,0.000,99.58158996,B,,,,
JACK LONDON ALY,2,0.418,0.000,0.000,99.58158996,B,,,,
JESSIE EAST ST,2,0.418,0.000,0.000,99.58158996,B,,,,
JULIA ST,2,0.418,0.000,0.000,99.58158996,B,,,,
JUSTIN DR,2,0.418,0.000,0.000,99.58158996,B,,,,
KENSINGTON WAY,2,0.418,0.000,0.000,99.58158996,B,,,,
KISKA RD,2,0.418,0.000,0.000,99.58158996,B,,,,
LAFAYETTE ST,2,0.418,0.000,0.000,99.58158996,B,,,,
LANDERS ST,2,0.418,0.000,0.000,99.58158996,B,,,,
LANGTON ST,2,0.418,0.000,0.000,99.58158996,B,,,,
LAURA ST,2,0.418,0.000,0.000,99.58158996,B,,,,
LEDYARD ST,2,0.418,0.000,0.000,99.58158996,B,,,,
LESSING ST,2,0.418,0.000,0.000,99.58158996,B,,,,
LOPEZ AVE,2,0.418,0.000,0.000,99.58158996,B,,,,
LUCY ST,2,0.418,0.000,0.000,99.58158996,B,,,,
MARY ST,2,0.418,0.000,0.000,99.58158996,B,,,,
MAYNARD ST,2,0.418,0.000,0.000,99.58158996,B,,,,
MCCOPPIN ST,2,0.418,0.000,0.000,99.58158996,B,,,,
MICHIGAN ST,2,0.418,0.000,0.000,99.58158996,B,,,,
MIDWAY ST,2,0.418,0.000,0.000,99.58158996,B,,,,
MISSION BAY BLVD NORTH,2,0.418,0.000,0.000,99.58158996,B,,,,
MISSION BAY BLVD SOUTH,2,0.418,0.000,0.000,99.58158996,B,,,,
MISSION BAY DR,2,0.418,0.000,0.000,99.58158996,B,,,,
MORSE ST,2,0.418,0.000,0.000,99.58158996,B,,,,
MOSS ST,2,0.418,0.000,0.000,99.58158996,B,,,,
MUNICH ST,2,0.418,0.000,0.000,99.58158996,B,,,,
NANCY PELOSI DR,2,0.418,0.000,0.000,99.58158996,B,,,,
NELSON RISING LN,2,0.418,0.000,0.000,99.58158996,B,,,,
OAK GROVE ST,2,0.418,0.000,0.000,99.58158996,B,,,,
OTTAWA AVE,2,0.418,0.000,0.000,99.58158996,B,,,,
OWENS ST,2,0.418,0.000,0.000,99.58158996,B,,,,
PANORAMA DR,2,0.418,0.000,0.000,99.58158996,B,,,,
PILGRIM AVE,2,0.418,0.000,0.000,99.58158996,B,,,,
PLAZA ST,2,0.418,0.000,0.000,99.58158996,B,,,,
PLEASANT ST,2,0.418,0.000,0.000,99.58158996,B,,,,
PLUM ST,2,0.418,0.000,0.000,99.58158996,B,,,,
POWERS AVE,2,0.418,0.000,0.000,99.58158996,B,,,,
PRINCETON ST,2,0.418,0.000,0.000,99.58158996,B,,,,
RAMONA AVE,2,0.418,0.000,0.000,99.58158996,B,,,,
ROOSEVELT WAY,2,0.418,0.000,0.000,99.58158996,B,,,,
ROSELYN TER,2,0.418,0.000,0.000,99.58158996,B,,,,
SAN CARLOS ST,2,0.418,0.000,0.000,99.58158996,B,,,,
SAN MARCOS AVE,2,0.418,0.000,0.000,99.58158996,B,,,,
SANTA CLARA AVE,2,0.418,0.000,0.000,99.58158996,B,,,,
SAWYER ST,2,0.418,0.000,0.000,99.58158996,B,,,,
SHIPLEY ST,2,0.418,0.000,0.000,99.58158996,B,,,,
SOUTH HILL BLVD,2,0.418,0.000,0.000,99.58158996,B,,,,
ST CHARLES AVE,2,0.418,0.000,0.000,99.58158996,B,,,,
STANFORD ST,2,0.418,0.000,0.000,99.58158996,B,,,,
STATE DR,2,0.418,0.000,0.000,99.58158996,B,,,,
STATES ST,2,0.418,0.000,0.000,99.58158996,B,,,,
STONEYBROOK AVE,2,0.418,0.000,0.000,99.58158996,B,,,,
THOMAS MELLON DR,2,0.418,0.000,0.000,99.58158996,B,,,,
TIFFANY AVE,2,0.418,0.000,0.000,99.58158996,B,,,,
TOMPKINS AVE,2,0.418,0.000,0.000,99.58158996,B,,,,
TOPEKA AVE,2,0.418,0.000,0.000,99.58158996,B,,,,
TRAINOR ST,2,0.418,0.000,0.000,99.58158996,B,,,,
TREASURE ISLAND RD,2,0.418,0.000,0.000,99.58158996,B,,,,
VELASCO AVE,2,0.418,0.000,0.000,99.58158996,B,,,,
VER MEHR PL,2,0.418,0.000,0.000,99.58158996,B,,,,
WAYLAND ST,2,0.418,0.000,0.000,99.58158996,B,,,,
WHITNEY ST,2,0.418,0.000,0.000,99.58158996,B,,,,
WIESE ST,2,0.418,0.000,0.000,99.58158996,B,,,,
WILMOT ST,2,0.418,0.000,0.000,99.58158996,B,,,,
YOSEMITE AVE,2,0.418,0.000,0.000,99.58158996,B,,,,
48TH AVE,3,0.628,0.000,0.000,99.37238494,B,,,,
ACADIA ST,3,0.628,0.000,0.000,99.37238494,B,,,,
AMAZON AVE,3,0.628,0.000,0.000,99.37238494,B,,,,
ANNIE ST,3,0.628,0.000,0.000,99.37238494,B,,,,
APPLETON AVE,3,0.628,0.000,0.000,99.37238494,B,,,,
ARELLANO AVE,3,0.628,0.000,0.000,99.37238494,B,,,,
BAYVIEW ST,3,0.628,0.000,0.000,99.37238494,B,,,,
BLAKE ST,3,0.628,0.000,0.000,99.37238494,B,,,,
BLANKEN AVE,3,0.628,0.000,0.000,99.37238494,B,,,,
BOARDMAN PL,3,0.628,0.000,0.000,99.37238494,B,,,,
