Street,PeopleInAccidents,PIA_Scaled,SpeedDiffFromLimit,SDFL_Scaled,Score_Scaled,Tier
Gordon St,3,0.628,0.000,0.000,99.37238494,B
Griffith St,3,0.628,0.000,0.000,99.37238494,B
Hagiwara Tea Garden Dr,3,0.628,0.000,0.000,99.37238494,B
Harding Rd,3,0.628,0.000,0.000,99.37238494,B
Hartford St,3,0.628,0.000,0.000,99.37238494,B
Hillway Ave,3,0.628,0.000,0.000,99.37238494,B
Hubbell St,3,0.628,0.000,0.000,99.37238494,B
Iowa St,3,0.628,0.000,0.000,99.37238494,B
Judson Ave,3,0.628,0.000,0.000,99.37238494,B
Jules Ave,3,0.628,0.000,0.000,99.37238494,B
La Playa,3,0.628,0.000,0.000,99.37238494,B
Linda St,3,0.628,0.000,0.000,99.37238494,B
Locust St,3,0.628,0.000,0.000,99.37238494,B
Macalla Rd,3,0.628,0.000,0.000,99.37238494,B
Middle Point Rd,3,0.628,0.000,0.000,99.37238494,B
Miraloma Dr,3,0.628,0.000,0.000,99.37238494,B
Orizaba Ave,3,0.628,0.000,0.000,99.37238494,B
Osceola Ln,3,0.628,0.000,0.000,99.37238494,B
Peru Ave,3,0.628,0.000,0.000,99.37238494,B
Randolph St,3,0.628,0.000,0.000,99.37238494,B
Redondo St,3,0.628,0.000,0.000,99.37238494,B
Redwood St,3,0.628,0.000,0.000,99.37238494,B
Rosa Parks Ln,3,0.628,0.000,0.000,99.37238494,B
Rossmoor Dr,3,0.628,0.000,0.000,99.37238494,B
Rutland St,3,0.628,0.000,0.000,99.37238494,B
Santa Ana Ave,3,0.628,0.000,0.000,99.37238494,B
Santa Ynez Ave,3,0.628,0.000,0.000,99.37238494,B
Somerset St,3,0.628,0.000,0.000,99.37238494,B
Sterling St,3,0.628,0.000,0.000,99.37238494,B
Transverse Dr,3,0.628,0.000,0.000,99.37238494,B
Welsh St,3,0.628,0.000,0.000,99.37238494,B
Wisconsin St,3,0.628,0.000,0.000,99.37238494,B
Woodward St,3,0.628,0.000,0.000,99.37238494,B
31st Ave,4,0.837,0.000,0.000,99.16317992,B
38th Ave,4,0.837,0.000,0.000,99.16317992,B
Allison St,4,0.837,0.000,0.000,99.16317992,B
Arkansas St,4,0.837,0.000,0.000,99.16317992,B
Ashbury St,4,0.837,0.000,0.000,99.16317992,B
Bay Shore Blvd Off Ramp,4,0.837,0.000,0.000,99.16317992,B
Beaumont Ave,4,0.837,0.000,0.000,99.16317992,B
Berkshire Way,4,0.837,0.000,0.000,99.16317992,B
Brunswick St,4,0.837,0.000,0.000,99.16317992,B
Buena Vista Ave East,4,0.837,0.000,0.000,99.16317992,B
Byxbee St,4,0.837,0.000,0.000,99.16317992,B
Camellia Ave,4,0.837,0.000,0.000,99.16317992,B
Clipper Cove Way,4,0.837,0.000,0.000,99.16317992,B
Collins St,4,0.837,0.000,0.000,99.16317992,B
Crisp Rd,4,0.837,0.000,0.000,99.16317992,B
Ellsworth St,4,0.837,0.000,0.000,99.16317992,B
Elmira St,4,0.837,0.000,0.000,99.16317992,B
Faxon Ave,4,0.837,0.000,0.000,99.16317992,B
Giants Dr,4,0.837,0.000,0.000,99.16317992,B
Grafton Ave,4,0.837,0.000,0.000,99.16317992,B
Hahn St,4,0.837,0.000,0.000,99.16317992,B
